longitude,latitude,year,Cow incidents,Crop circle found,Alien sighted,Abduction event
-1.1694489558122871,41.98425182286053,1806,Yes,Yes,No,No
-1.1547961161940594,42.193623060417764,1634,Yes,Yes,No,No
-1.2453257296223414,41.880517602150945,2014,Yes,Yes,No,No
-1.0881719375317054,42.10028753818745,1745,No,Yes,No,No
-1.1707784469024378,41.879760866792616,1823,No,Yes,No,No
-1.0799921675295021,41.32360867886696,1544,Yes,Yes,No,No
-1.3526032998133557,42.08036183486996,1633,Yes,Yes,No,Yes
-1.1066900816312266,41.170203293524786,1997,Yes,Yes,No,No
-1.3657535797282296,41.970461242572405,1931,No,No,No,No
-0.9361560046877448,41.51159327001502,1803,No,Yes,No,No
-0.9005081603016453,41.58545052764877,1681,Yes,Yes,No,No
-0.992655568382473,42.11206463403021,1862,Yes,Yes,No,No
-0.7346096661181356,41.677341422069176,1848,No,Yes,No,No
-1.3300932563742125,41.67864898038116,1575,Yes,Yes,No,No
-1.3863387695663558,41.34857968631622,1559,No,Yes,No,No
-1.015679633507609,42.362544309947346,1825,Yes,Yes,No,No
-0.751344813215816,41.89984738852411,1586,No,Yes,No,No
-0.7821856710720146,41.374721205532005,1863,Yes,Yes,No,No
-1.7232377202211027,41.50445373902608,1983,Yes,Yes,No,No
-1.3724008184645557,41.62550444915289,1767,Yes,Yes,No,Yes
-0.8811076220062096,41.582923013151515,1702,Yes,Yes,No,No
-1.1717428308850966,42.49069492519732,1589,No,Yes,No,No
-0.8712663070956987,41.64320160876699,1553,Yes,Yes,No,No
-1.0548814931396198,41.76461294986415,1649,Yes,Yes,No,No
-1.331384800913893,41.324862197183315,1654,No,Yes,No,No
-1.4017688942639703,41.6364764355912,1678,Yes,Yes,No,No
-1.4335144445575032,41.472142355325424,1682,Yes,Yes,No,No
-1.5188669289476562,42.089532289391954,1650,No,Yes,No,No
-1.2010505819523907,42.358878093525526,1549,Yes,Yes,No,No
-1.4097191141782788,41.334566490865036,1842,Yes,Yes,No,No
-0.644376038135052,41.970019811532296,1983,Yes,Yes,No,No
-0.8851512969510719,41.40601347348747,1907,No,Yes,No,No
-1.0839838874491203,41.64818003536818,1916,No,Yes,No,Yes
-0.7349721575305307,41.752376237921965,1846,No,Yes,No,No
-1.7715736568110654,41.03605971234782,1629,No,No,No,No
-1.0245522899149988,41.77159948073519,1994,Yes,Yes,No,No
-1.5915088782924829,41.93720781144176,1804,Yes,Yes,No,No
-0.4653033274687507,41.35824224302741,1627,No,Yes,No,No
-0.8741027791015994,41.24610897444045,1895,No,No,No,No
-1.1403952811481646,41.42464810809611,1993,No,Yes,No,No
-0.5891406866922865,41.22273065242356,1906,Yes,Yes,No,Yes
-1.415048001968995,41.0404970103798,1982,Yes,Yes,No,No
-0.5924643130990557,41.38474401375099,1630,Yes,Yes,No,No
-0.7646949471496974,41.803649616390636,1941,No,Yes,No,No
-0.9182330257694145,41.69388216099207,1928,No,No,Yes,Yes
-5.20343724405029,38.00672163282989,1627,No,No,No,No
-4.613027467653124,37.940449514266284,1629,No,No,Yes,No
-4.707184431720859,37.77125288017333,1736,No,No,Yes,No
-4.441723243634023,37.98194420781242,1578,No,No,Yes,No
-5.980876898818485,37.93813552044035,1994,No,No,Yes,No
-4.941435662537081,37.756851131611946,1554,No,No,Yes,No
-4.503601476052983,37.92036558498667,1745,No,No,Yes,No
-4.694537662189399,37.772398974605935,1876,No,No,Yes,No
-4.796532023159731,38.15752000656901,1621,No,No,Yes,No
-5.327295599959905,37.95204690724696,1702,No,No,Yes,No
-5.4192907822821805,38.069676768923244,1543,No,No,Yes,No
-4.992904628739394,38.10706396535474,1971,No,No,Yes,Yes
-5.056784628696891,37.711049971605405,1741,Yes,No,Yes,No
-5.942859001830689,37.89494043081841,1793,No,No,Yes,No
-4.688726789225041,38.50147479725344,1706,No,No,Yes,No
-4.399792597632861,37.858398492996734,1906,No,No,Yes,Yes
-6.44664620254264,38.11057218983158,2008,No,Yes,Yes,No
-5.001380917644516,37.72459144733375,1758,No,No,Yes,No
-4.3807944192615285,37.99759049323358,1846,No,No,Yes,No
-5.304293188192495,37.56390479127769,1589,No,No,Yes,No
-4.328869589765908,38.01138314867794,1800,No,No,No,No
-5.188105298397364,37.781104451978095,1820,No,No,Yes,No
-5.271394544918325,38.2732140241478,1715,No,No,No,No
-4.641336628691938,38.44494069825421,1767,No,No,Yes,No
-4.258677270317722,38.07440796220699,1555,No,No,Yes,No
-4.374663754877915,38.03329196391285,1639,No,No,Yes,No
-6.034269776911303,37.86206938327862,1782,No,Yes,Yes,No
-4.772781279765929,37.788368047432044,1921,No,No,Yes,No
-5.374865170558861,37.718432751590285,1729,No,No,Yes,No
-3.8137972165767327,37.70234318863386,1659,No,No,No,No
-5.744494422187518,37.79898073311749,1655,No,No,Yes,No
-4.320396623120475,38.24966056521483,1540,Yes,No,No,No
-5.3995997483493445,38.12636506139312,1917,No,No,No,No
-5.6387726254327175,37.99829112730182,1816,No,No,Yes,No
-3.158906308688441,38.209277213254744,1817,No,No,No,No
-5.035968169157249,37.701616342336294,1868,No,No,Yes,No
-5.21779082010866,37.70284554043553,1846,No,No,Yes,No
-6.550661626400758,38.13404458662728,1791,No,No,Yes,No
-4.592511959009281,38.04336371416763,1760,No,No,Yes,No
-4.2974854569971,37.624884976849785,1894,No,Yes,Yes,No
-4.015615355318687,37.7565477238754,1958,No,No,Yes,No
-4.7353371971263565,38.10094370105137,1876,No,No,Yes,No
-4.240311759819638,38.44634393893504,1957,No,No,Yes,No
-4.755730407878438,37.914402624730315,1869,Yes,No,Yes,No
-5.787222907423309,38.05769123014172,1693,No,No,Yes,No
-5.599919616109036,37.696240441081855,1731,No,No,Yes,No
-5.143430061000466,38.150072978511766,1538,No,No,Yes,No
-5.2191912050096985,37.76446780201385,1750,No,No,Yes,No
-4.899844367852649,37.72180990194227,1756,No,No,No,No
-6.073651580628174,38.326235826870374,1711,No,No,No,No
-4.828261941845085,38.44279064289986,1670,No,No,Yes,No
-6.042719427744673,38.2318618734035,1724,No,No,Yes,No
-5.125055998250884,38.599186666464,1737,No,No,Yes,No
-5.152327878101608,37.90061689182098,1729,Yes,No,Yes,No
-4.70031332472988,38.042252963006675,1851,No,No,Yes,No
-5.324657421304591,38.20387302051863,1645,No,No,Yes,No
-4.511968388663634,38.19804664077371,1729,No,No,Yes,No
-4.716861117520818,37.84131649919785,1873,No,No,Yes,No
-5.495171384290627,38.13259721959043,1904,No,No,Yes,No
-5.664013831914995,38.37969429513491,1989,No,No,No,No
-4.977022764393126,37.82241640870827,1854,No,No,No,No
-4.266330818721301,37.99548463222675,2017,No,No,Yes,No
-4.153466020064034,38.04735705262371,1943,No,No,Yes,No
-3.7496248948582416,37.91425010622242,1994,No,No,Yes,No
-6.544446766997607,37.66096630866354,1888,No,No,Yes,No
-6.155330195432327,38.13190437629948,1854,No,No,Yes,No
-3.720741312876947,37.95638819770021,1736,No,No,Yes,No
-5.9435339998232175,38.15270586079854,1646,No,No,Yes,No
-4.679184399620444,37.914769000013344,1719,No,No,Yes,No
-4.711536946381797,38.0014333657289,1946,No,No,Yes,No
-2.4697099180057376,38.210851865853165,1588,No,No,No,Yes
-1.0462774813428382,38.50527960805208,1668,No,No,Yes,Yes
-2.254656019454629,37.26964413210317,1781,No,No,Yes,Yes
-1.949242121769974,37.841952961930645,1710,No,No,Yes,No
-2.0572042150700116,37.75434918891796,1775,No,Yes,Yes,No
-2.938138647334635,37.230810735493925,1942,No,No,Yes,Yes
-2.3252267580732284,38.084437084721834,1711,No,No,No,Yes
-3.8268816083522914,37.567579882056755,1542,No,No,Yes,Yes
-2.3126351838545287,38.749321264275835,1648,No,No,Yes,Yes
-1.7441789751601773,38.48735405507657,1935,No,No,Yes,Yes
-3.095447823192354,37.49818611189937,1965,No,No,Yes,No
-3.413108647869891,37.41930402513522,1570,No,No,Yes,Yes
-2.068619517027286,38.37958548185213,1580,No,No,Yes,Yes
-2.7942012568631642,37.76730784343706,1659,No,No,Yes,Yes
-1.6563951973375541,38.593740878165555,1653,No,No,Yes,Yes
-3.718351067300839,36.95113742411475,1954,No,No,Yes,Yes
-2.762068936941665,38.23455843309789,1628,No,No,Yes,Yes
-2.6988752806036462,38.210575179810725,1930,No,No,Yes,Yes
-2.26741721910068,37.54329788529244,1948,Yes,No,Yes,Yes
-3.0095604978534896,37.8148103890665,1825,No,No,Yes,Yes
-3.420803948177443,37.8490874566996,2023,No,No,Yes,Yes
-3.2388474334131403,37.1285580357395,1612,No,No,Yes,Yes
-1.85937442296196,38.787420976848566,1945,No,No,Yes,No
-1.445744783710155,38.167804824628405,1663,No,No,Yes,Yes
-3.10252357519097,37.84964279911339,1740,No,No,Yes,Yes
-2.012642399779791,38.42106827565712,1648,No,No,Yes,Yes
-2.0621873415912226,38.33777532179938,1731,No,No,Yes,Yes
-3.0711452951577405,38.0793089090613,1555,No,No,Yes,Yes
-2.531903356029228,37.22712219549678,1839,No,No,Yes,Yes
-2.56955411855841,37.65856083899437,1781,No,No,Yes,No
-2.2651428340717157,38.46647462474502,1859,No,No,Yes,Yes
-2.8940036254715027,38.00276305461505,1662,No,No,Yes,No
-1.2339919626947782,38.90280179264982,1877,No,No,Yes,Yes
-2.014188516458289,38.39470581274338,1634,No,No,Yes,Yes
-2.479345704888089,37.844380116816964,1982,No,No,Yes,No
-2.776743309300711,37.494494716365956,1909,No,No,Yes,No
-2.1179649004240613,38.02427734062983,1810,No,No,Yes,Yes
-2.1751820223291505,38.17208469137445,1962,No,No,Yes,No
-2.061172304590712,38.40769835933208,1925,No,No,Yes,No
-1.6163934223079255,38.270333418830276,1614,No,No,Yes,Yes
-2.8748095501376665,37.95659869854967,1842,No,No,Yes,Yes
-1.4604314641050542,39.36818371312353,1917,No,No,Yes,Yes
-3.5080807182834173,37.28465450790943,1611,No,No,Yes,Yes
-3.196136071725576,37.40772862933311,1743,No,No,Yes,Yes
-2.5056676018279807,38.47097993345831,1715,No,No,No,Yes
-2.4527724268094557,37.59780288637157,1591,No,No,Yes,Yes
-2.8935509867768423,37.384274650385315,1676,No,No,Yes,Yes
-1.7748544970096005,38.69364651242708,1894,No,No,Yes,Yes
-1.9147134208775092,38.97709007205713,2019,No,No,Yes,No
-2.9691166958597806,38.020209459626436,1756,No,No,Yes,Yes
-2.8773692394269643,37.78016886003226,1679,No,No,Yes,Yes
-3.476462873344417,37.11562036805162,1631,No,No,Yes,Yes
-2.581812676885937,37.49622449593634,1931,No,No,Yes,No
-2.720340464924743,37.523887277044636,1715,No,No,Yes,Yes
-1.1173297940506544,39.015789125165654,1566,No,No,Yes,Yes
-1.5425071799242838,39.29246750392007,1898,No,No,Yes,Yes
-0.9061320507817925,39.7795250821634,1881,No,No,Yes,Yes
-2.068018079726688,38.57711073310578,1816,No,No,Yes,No
-1.8431093862416237,38.77130029419694,1745,No,No,Yes,Yes
-2.0171924185482406,38.60905432498984,1541,No,No,No,Yes
-3.492959525963092,38.01592728837251,1737,No,No,Yes,Yes
-2.460690157466515,38.14936363518706,1591,No,No,Yes,No
-1.5210793327684005,39.21520730615753,1704,No,No,Yes,Yes
-3.3262018856680937,37.053939600733415,1793,No,No,Yes,Yes
-1.917936126170746,38.29779349616482,1875,No,No,No,Yes
-2.98422614230956,38.12938415173871,1853,No,Yes,Yes,Yes
-2.223036343039762,38.33716784178434,1645,No,Yes,Yes,Yes
-2.392218341288648,37.99516028545941,1937,No,No,Yes,No
-2.45423909863087,38.06360182663702,1956,No,No,Yes,Yes
-2.1866052455415335,38.516670105476294,1920,No,No,Yes,Yes
